Time | surface energy | strain energy
  0.00000000e+00   6.22243076e-07   5.37892563e-04
  2.00000000e-07   1.09348675e-05   2.78535472e-03
  4.00000000e-07   2.32050933e-05   4.99930874e-03
  6.00000000e-07   3.57256496e-05   7.21809116e-03
  8.00000000e-07   4.89494869e-05   9.43490148e-03
  1.00000000e-06   6.27870965e-05   1.16551728e-02
  1.20000000e-06   7.70823359e-05   1.38713164e-02
  1.40000000e-06   9.17040920e-05   1.60930726e-02
  1.60000000e-06   1.06597979e-04   1.83093844e-02
  1.80000000e-06   1.21745328e-04   2.05246744e-02
  2.00000000e-06   1.37119371e-04   2.27495847e-02
  2.20000000e-06   1.52711598e-04   2.49643137e-02
  2.40000000e-06   1.68515206e-04   2.71797887e-02
  2.60000000e-06   1.84507667e-04   2.94024040e-02
  2.80000000e-06   2.00692247e-04   3.16188455e-02
  3.00000000e-06   2.17036393e-04   3.38339412e-02
  3.20000000e-06   2.33530429e-04   3.60557987e-02
  3.40000000e-06   2.50184061e-04   3.82740705e-02
  3.60000000e-06   2.66950658e-04   4.04903805e-02
  3.80000000e-06   2.83834240e-04   4.27074720e-02
  4.00000000e-06   3.00835583e-04   4.49299437e-02
  4.20000000e-06   3.17968371e-04   4.71398240e-02
  4.40000000e-06   3.35212321e-04   4.93757805e-02
  4.60000000e-06   3.52715336e-04   5.15503426e-02
  4.80000000e-06   3.70299154e-04   5.37969415e-02
  5.00000000e-06   3.89580173e-04   5.61492018e-02
  5.20000000e-06   4.09498701e-04   5.82333300e-02
  5.40000000e-06   4.32013414e-04   5.98411360e-02
  5.60000000e-06   4.85000076e-04   6.16140247e-02
  5.80000000e-06   5.90630001e-04   6.40006904e-02
  6.00000000e-06   6.87433084e-04   6.62056037e-02
  6.20000000e-06   8.09362380e-04   6.83376770e-02
  6.40000000e-06   9.27337683e-04   7.06184031e-02
  6.60000000e-06   1.05552904e-03   7.28356186e-02
  6.80000000e-06   1.17635588e-03   7.51060379e-02
