   t |  uy[mm] | fy[N] 
  3.00000000e-09   0.00000000e+00   0.00000000e+00
  6.00000000e-09   0.00000000e+00   0.00000000e+00
  9.00000000e-09   0.00000000e+00   0.00000000e+00
  1.20000000e-08   0.00000000e+00   0.00000000e+00
  1.50000000e-08   0.00000000e+00   0.00000000e+00
  1.80000000e-08   0.00000000e+00   0.00000000e+00
  2.10000000e-08   0.00000000e+00   0.00000000e+00
  2.40000000e-08   0.00000000e+00   0.00000000e+00
  2.70000000e-08   0.00000000e+00   0.00000000e+00
  3.00000000e-08   0.00000000e+00   0.00000000e+00
  3.30000000e-08   0.00000000e+00   0.00000000e+00
  3.60000000e-08   0.00000000e+00   0.00000000e+00
  3.90000000e-08   0.00000000e+00   0.00000000e+00
  4.20000000e-08   0.00000000e+00   0.00000000e+00
  4.50000000e-08   0.00000000e+00   0.00000000e+00
  4.80000000e-08   0.00000000e+00   0.00000000e+00
  5.10000000e-08   0.00000000e+00   0.00000000e+00
  5.40000000e-08   0.00000000e+00   0.00000000e+00
  5.70000000e-08   0.00000000e+00   0.00000000e+00
  6.00000000e-08   0.00000000e+00   0.00000000e+00
  6.30000000e-08   0.00000000e+00  -3.12389871e-73
  6.60000000e-08   3.53026602e-84  -1.31230295e-71
  6.90000000e-08   1.55352520e-82  -2.81892490e-70
  7.20000000e-08   3.49239070e-81  -4.12679719e-69
  7.50000000e-08   5.34565916e-80  -4.63026345e-68
  7.80000000e-08   6.26540110e-79  -4.24543429e-67
  8.10000000e-08   5.99568879e-78  -3.31227192e-66
  8.40000000e-08   4.87806805e-77  -2.26094356e-65
  8.70000000e-08   3.46944318e-76  -1.37787450e-64
  9.00000000e-08   2.20131915e-75  -7.61325592e-64
  9.30000000e-08   1.26535868e-74  -3.86025602e-63
  9.60000000e-08   6.66970868e-74  -1.81369592e-62
  9.90000000e-08   3.25530079e-73  -7.95933105e-62
  1.02000000e-07   1.48298835e-72  -3.28427613e-61
  1.05000000e-07   6.34810159e-72  -1.28143293e-60
  1.08000000e-07   2.56779951e-71  -4.75045465e-60
  1.11000000e-07   9.86253403e-71  -1.68021272e-59
  1.14000000e-07   3.61194815e-70  -5.69060948e-59
  1.17000000e-07   1.26591361e-69  -1.85141360e-58
  1.20000000e-07   4.25960099e-69  -5.80261227e-58
  1.23000000e-07   1.37996797e-68  -1.75634531e-57
  1.26000000e-07   4.31521549e-68  -5.14563444e-57
  1.29000000e-07   1.30542767e-67  -1.46214004e-56
  1.32000000e-07   3.82829209e-67  -4.03695299e-56
  1.35000000e-07   1.09033353e-66  -1.08480872e-55
  1.38000000e-07   3.02093922e-66  -2.84147058e-55
  1.41000000e-07   8.15482460e-66  -7.26478765e-55
  1.44000000e-07   2.14774256e-65  -1.81527237e-54
  1.47000000e-07   5.52585642e-65  -4.43817947e-54
  1.50000000e-07   1.39051946e-64  -1.06286417e-53
  1.53000000e-07   3.42598408e-64  -2.49569155e-53
  1.56000000e-07   8.27293549e-64  -5.75099566e-53
  1.59000000e-07   1.95976217e-63  -1.30168057e-52
  1.62000000e-07   4.55817793e-63  -2.89614015e-52
  1.65000000e-07   1.04177078e-62  -6.33883873e-52
  1.68000000e-07   2.34137734e-62  -1.36576137e-51
  1.71000000e-07   5.17836901e-62  -2.89864923e-51
  1.74000000e-07   1.12777245e-61  -6.06366665e-51
  1.77000000e-07   2.42004628e-61  -1.25095232e-50
  1.80000000e-07   5.11976582e-61  -2.54650279e-50
  1.83000000e-07   1.06840612e-60  -5.11757352e-50
  1.86000000e-07   2.20041387e-60  -1.01579626e-49
  1.89000000e-07   4.47469418e-60  -1.99235261e-49
  1.92000000e-07   8.98899010e-60  -3.86301749e-49
  1.95000000e-07   1.78457080e-59  -7.40733404e-49
  1.98000000e-07   3.50274715e-59  -1.40519533e-48
  2.01000000e-07   6.79991408e-59  -2.63819674e-48
  2.04000000e-07   1.30610047e-58  -4.90367458e-48
  2.07000000e-07   2.48301378e-58  -9.02653269e-48
  2.10000000e-07   4.67363135e-58  -1.64603517e-47
  2.13000000e-07   8.71242314e-58  -2.97442913e-47
  2.16000000e-07   1.60902407e-57  -5.32765404e-47
  2.19000000e-07   2.94475373e-57  -9.46132888e-47
  2.22000000e-07   5.34215334e-57  -1.66633595e-46
  2.25000000e-07   9.60898141e-57  -2.91120569e-46
  2.28000000e-07   1.71411385e-56  -5.04642762e-46
  2.31000000e-07   3.03323615e-56  -8.68145611e-46
  2.34000000e-07   5.32568547e-56  -1.48248691e-45
  2.37000000e-07   9.27986864e-56  -2.51343370e-45
  2.40000000e-07   1.60507564e-55  -4.23162421e-45
  2.43000000e-07   2.75627880e-55  -7.07605494e-45
  2.46000000e-07   4.70010791e-55  -1.17543282e-44
  2.49000000e-07   7.96029756e-55  -1.94000075e-44
  2.52000000e-07   1.33925771e-54  -3.18181906e-44
  2.55000000e-07   2.23864894e-54  -5.18666007e-44
  2.58000000e-07   3.71848124e-54  -8.40437483e-44
  2.61000000e-07   6.13862417e-54  -1.35391826e-43
  2.64000000e-07   1.00732100e-53  -2.16875549e-43
  2.67000000e-07   1.64330904e-53  -3.45477120e-43
  2.70000000e-07   2.66554449e-53  -5.47363501e-43
  2.73000000e-07   4.29958553e-53  -8.62651669e-43
  2.76000000e-07   6.89759619e-53  -1.35254425e-42
  2.79000000e-07   1.10066212e-52  -2.10996531e-42
  2.82000000e-07   1.74722174e-52  -3.27534184e-42
  2.85000000e-07   2.75950165e-52  -5.05991721e-42
  2.88000000e-07   4.33661697e-52  -7.78004325e-42
  2.91000000e-07   6.78198391e-52  -1.19074086e-41
  2.94000000e-07   1.05558611e-51  -1.81423063e-41
  2.97000000e-07   1.63533312e-51  -2.75200786e-41
  3.00000000e-07   2.52195576e-51  -4.15651526e-41
  3.03000000e-07   3.87194327e-51  -6.25130846e-41
  3.06000000e-07   5.91862898e-51  -9.36294326e-41
  3.09000000e-07   9.00850894e-51  -1.39665988e-40
  3.12000000e-07   1.36540733e-50  -2.07511172e-40
  3.15000000e-07   2.06103687e-50  -3.07113949e-40
  3.18000000e-07   3.09855415e-50  -4.52791700e-40
  3.21000000e-07   4.63998676e-50  -6.65075358e-40
  3.24000000e-07   6.92137237e-50  -9.73303769e-40
  3.27000000e-07   1.02853252e-49  -1.41925961e-39
  3.30000000e-07   1.52274001e-49  -2.06224864e-39
  3.33000000e-07   2.24618784e-49  -2.98617292e-39
  3.36000000e-07   3.30148073e-49  -4.30935034e-39
  3.39000000e-07   4.83551574e-49  -6.19810552e-39
  3.42000000e-07   7.05791342e-49  -8.88552454e-39
  3.45000000e-07   1.02668382e-48  -1.26972601e-38
  3.48000000e-07   1.48850602e-48  -1.80869355e-38
  3.51000000e-07   2.15101713e-48  -2.56845823e-38
  3.54000000e-07   3.09843041e-48  -3.63627251e-38
  3.57000000e-07   4.44906515e-48  -5.13263005e-38
  3.60000000e-07   6.36867106e-48  -7.22346776e-38
  3.63000000e-07   9.08877127e-48  -1.01366810e-37
  3.66000000e-07   1.29318452e-47  -1.41844188e-37
  3.69000000e-07   1.83458094e-47  -1.97931056e-37
  3.72000000e-07   2.59511038e-47  -2.75437679e-37
  3.75000000e-07   3.66048263e-47  -3.82260692e-37
  3.78000000e-07   5.14878651e-47  -5.29105393e-37
  3.81000000e-07   7.22229769e-47  -7.30448975e-37
  3.84000000e-07   1.01034411e-46  -1.00582208e-36
  3.87000000e-07   1.40963171e-46  -1.38150993e-36
  3.90000000e-07   1.96156611e-46  -1.89280545e-36
  3.93000000e-07   2.72257133e-46  -2.58698671e-36
  3.96000000e-07   3.76922679e-46  -3.52724315e-36
  3.99000000e-07   5.20522124e-46  -4.79784168e-36
  4.02000000e-07   7.17062279e-46  -6.51091004e-36
  4.05000000e-07   9.85420892e-46  -8.81532499e-36
  4.08000000e-07   1.35098313e-45  -1.19083349e-35
  4.11000000e-07   1.84780893e-45  -1.60507270e-35
  4.14000000e-07   2.52149735e-45  -2.15865820e-35
  4.17000000e-07   3.43296433e-45  -2.89689513e-35
  4.20000000e-07   4.66341484e-45  -3.87931716e-35
  4.23000000e-07   6.32087406e-45  -5.18400030e-35
  4.26000000e-07   8.54874926e-45  -6.91313856e-35
  4.29000000e-07   1.15370319e-44  -9.20023722e-35
  4.32000000e-07   1.55369265e-44  -1.22193762e-34
  4.35000000e-07   2.08799166e-44  -1.61971181e-34
  4.38000000e-07   2.80025705e-44  -2.14277884e-34
  4.41000000e-07   3.74787513e-44  -2.82930503e-34
  4.44000000e-07   5.00613686e-44  -3.72869358e-34
  4.47000000e-07   6.67364004e-44  -4.90478028e-34
  4.50000000e-07   8.87926678e-44  -6.43990647e-34
  4.53000000e-07   1.17911799e-43  -8.44010159e-34
  4.56000000e-07   1.56284028e-43  -1.10416670e-33
  4.59000000e-07   2.06756989e-43  -1.44195267e-33
  4.62000000e-07   2.73026593e-43  -1.87978020e-33
  4.65000000e-07   3.59881492e-43  -2.44631824e-33
  4.68000000e-07   4.73515648e-43  -3.17818053e-33
  4.71000000e-07   6.21927360e-43  -4.12205342e-33
  4.74000000e-07   8.15427842e-43  -5.33737401e-33
  4.77000000e-07   1.06728843e-42  -6.89969613e-33
  4.80000000e-07   1.39456293e-42  -8.90491461e-33
  4.83000000e-07   1.81913090e-42  -1.14745590e-32
  4.86000000e-07   2.36901928e-42  -1.47624184e-32
  4.89000000e-07   3.08007406e-42  -1.89628200e-32
  4.92000000e-07   3.99807179e-42  -2.43209606e-32
  4.95000000e-07   5.18138249e-42  -3.11457819e-32
  4.98000000e-07   6.70432355e-42  -3.98259945e-32
  5.01000000e-07   8.66137767e-42  -5.08499955e-32
  5.04000000e-07   1.11724901e-41  -6.48305900e-32
  5.07000000e-07   1.43897127e-41  -8.25356399e-32
  5.10000000e-07   1.85055246e-41  -1.04926008e-31
  5.13000000e-07   2.37632405e-41  -1.33202478e-31
  5.16000000e-07   3.04700118e-41  -1.68863700e-31
  5.19000000e-07   3.90130454e-41  -2.13777664e-31
  5.22000000e-07   4.98798102e-41  -2.70269749e-31
  5.25000000e-07   6.36831811e-41  -3.41231070e-31
  5.28000000e-07   8.11926850e-41  -4.30251635e-31
  5.31000000e-07   1.03373283e-40  -5.41783800e-31
  5.34000000e-07   1.31433448e-40  -6.81342692e-31
  5.37000000e-07   1.66884689e-40  -8.55751670e-31
  5.40000000e-07   2.11615161e-40  -1.07344260e-30
  5.43000000e-07   2.67980593e-40  -1.34482281e-30
  5.46000000e-07   3.38916457e-40  -1.68272291e-30
  5.49000000e-07   4.28076201e-40  -2.10294295e-30
  5.52000000e-07   5.40001392e-40  -2.62491746e-30
  5.55000000e-07   6.80330897e-40  -3.27252464e-30
  5.58000000e-07   8.56057785e-40  -4.07506980e-30
  5.61000000e-07   1.07584446e-39  -5.06847930e-30
  5.64000000e-07   1.35040884e-39  -6.29674860e-30
  5.67000000e-07   1.69299700e-39  -7.81369664e-30
  5.70000000e-07   2.11996114e-39  -9.68508924e-30
  5.73000000e-07   2.65146553e-39  -1.19912066e-29
  5.76000000e-07   3.31234775e-39  -1.48299443e-29
  5.79000000e-07   4.13316858e-39  -1.83205563e-29
  5.82000000e-07   5.15149018e-39  -2.26081658e-29
