   t |  uy[mm] | fy[N] 
  1.95000000e-07   3.50000002e-01   9.00507802e+02
  1.98000000e-07   3.50000002e-01   9.00507802e+02
  2.01000000e-07   3.50000002e-01   9.00507803e+02
  2.04000000e-07   3.50000002e-01   9.00507803e+02
  2.07000000e-07   3.50000002e-01   9.00507803e+02
  2.10000000e-07   3.50000002e-01   9.00507804e+02
  2.13000000e-07   3.50000002e-01   9.00507804e+02
  2.16000000e-07   3.50000002e-01   9.00507804e+02
  2.19000000e-07   3.50000002e-01   9.00507805e+02
  2.22000000e-07   3.50000002e-01   9.00507805e+02
  2.25000000e-07   3.50000002e-01   9.00507805e+02
  2.28000000e-07   3.50000002e-01   9.00507806e+02
  2.31000000e-07   3.50000002e-01   9.00507806e+02
  2.34000000e-07   3.50000002e-01   9.00507806e+02
  2.37000000e-07   3.50000002e-01   9.00507806e+02
  2.40000000e-07   3.50000002e-01   9.00507807e+02
  2.43000000e-07   3.50000002e-01   9.00507807e+02
  2.46000000e-07   3.50000002e-01   9.00507807e+02
  2.49000000e-07   3.50000002e-01   9.00507808e+02
  2.52000000e-07   3.50000002e-01   9.00507808e+02
  2.55000000e-07   3.50000003e-01   9.00507808e+02
  2.58000000e-07   3.50000003e-01   9.00507809e+02
  2.61000000e-07   3.50000003e-01   9.00507809e+02
  2.64000000e-07   3.50000003e-01   9.00507809e+02
  2.67000000e-07   3.50000003e-01   9.00507810e+02
  2.70000000e-07   3.50000003e-01   9.00507810e+02
  2.73000000e-07   3.50000003e-01   9.00507810e+02
  2.76000000e-07   3.50000003e-01   9.00507810e+02
  2.79000000e-07   3.50000003e-01   9.00507811e+02
  2.82000000e-07   3.50000003e-01   9.00507811e+02
  2.85000000e-07   3.50000003e-01   9.00507811e+02
  2.88000000e-07   3.50000003e-01   9.00507812e+02
  2.91000000e-07   3.50000003e-01   9.00507812e+02
  2.94000000e-07   3.50000003e-01   9.00507812e+02
  2.97000000e-07   3.50000003e-01   9.00507812e+02
  3.00000000e-07   3.50000003e-01   9.00507813e+02
  3.03000000e-07   3.50000003e-01   9.00507813e+02
  3.06000000e-07   3.50000003e-01   9.00507813e+02
  3.09000000e-07   3.50000003e-01   9.00507814e+02
  3.12000000e-07   3.50000003e-01   9.00507814e+02
  3.15000000e-07   3.50000003e-01   9.00507814e+02
  3.18000000e-07   3.50000003e-01   9.00507815e+02
  3.21000000e-07   3.50000003e-01   9.00507815e+02
  3.24000000e-07   3.50000003e-01   9.00507815e+02
  3.27000000e-07   3.50000003e-01   9.00507815e+02
  3.30000000e-07   3.50000003e-01   9.00507816e+02
  3.33000000e-07   3.50000003e-01   9.00507816e+02
  3.36000000e-07   3.50000003e-01   9.00507816e+02
  3.39000000e-07   3.50000003e-01   9.00507817e+02
  3.42000000e-07   3.50000003e-01   9.00507817e+02
  3.45000000e-07   3.50000003e-01   9.00507817e+02
  3.48000000e-07   3.50000003e-01   9.00507817e+02
  3.51000000e-07   3.50000003e-01   9.00507818e+02
  3.54000000e-07   3.50000004e-01   9.00507818e+02
  3.57000000e-07   3.50000004e-01   9.00507818e+02
  3.60000000e-07   3.50000004e-01   9.00507818e+02
  3.63000000e-07   3.50000004e-01   9.00507819e+02
  3.66000000e-07   3.50000004e-01   9.00507819e+02
  3.69000000e-07   3.50000004e-01   9.00507819e+02
  3.72000000e-07   3.50000004e-01   9.00507820e+02
  3.75000000e-07   3.50000004e-01   9.00507820e+02
  3.78000000e-07   3.50000004e-01   9.00507820e+02
  3.81000000e-07   3.50000004e-01   9.00507820e+02
  3.84000000e-07   3.50000004e-01   9.00507821e+02
  3.87000000e-07   3.50000004e-01   9.00507821e+02
  3.90000000e-07   3.50000004e-01   9.00507821e+02
  3.93000000e-07   3.50000004e-01   9.00507821e+02
  3.96000000e-07   3.50000004e-01   9.00507822e+02
  3.99000000e-07   3.50000004e-01   9.00507822e+02
  4.02000000e-07   3.50000004e-01   9.00507822e+02
  4.05000000e-07   3.50000004e-01   9.00507822e+02
  4.08000000e-07   3.50000004e-01   9.00507823e+02
  4.11000000e-07   3.50000004e-01   9.00507823e+02
  4.14000000e-07   3.50000004e-01   9.00507823e+02
  4.17000000e-07   3.50000004e-01   9.00507824e+02
  4.20000000e-07   3.50000004e-01   9.00507824e+02
  4.23000000e-07   3.50000004e-01   9.00507824e+02
  4.26000000e-07   3.50000004e-01   9.00507824e+02
  4.29000000e-07   3.50000004e-01   9.00507825e+02
  4.32000000e-07   3.50000004e-01   9.00507825e+02
  4.35000000e-07   3.50000004e-01   9.00507825e+02
  4.38000000e-07   3.50000004e-01   9.00507825e+02
  4.41000000e-07   3.50000004e-01   9.00507826e+02
  4.44000000e-07   3.50000004e-01   9.00507826e+02
  4.47000000e-07   3.50000004e-01   9.00507826e+02
  4.50000000e-07   3.50000004e-01   9.00507826e+02
  4.53000000e-07   3.50000005e-01   9.00507827e+02
  4.56000000e-07   3.50000005e-01   9.00507827e+02
  4.59000000e-07   3.50000005e-01   9.00507827e+02
  4.62000000e-07   3.50000005e-01   9.00507827e+02
