   t |  uy[mm] | fy[N] 
  0.00000000e+00   2.00000000e-02   2.34861743e+02
  0.00000000e+00   4.00000000e-02   4.69723241e+02
  0.00000000e+00   6.00000000e-02   7.04584992e+02
  0.00000000e+00   8.00000000e-02   9.39446732e+02
  0.00000000e+00   1.00000000e-01   1.17430847e+03
  0.00000000e+00   1.20000000e-01   1.40917022e+03
  0.00000000e+00   1.40000000e-01   1.64403196e+03
  5.00000000e-09   1.40000000e-01   1.64403196e+03
  1.00000000e-08   1.40000000e-01   1.64403196e+03
  1.50000000e-08   1.40000000e-01   1.64403196e+03
  2.00000000e-08   1.40000000e-01   1.64403196e+03
  2.50000000e-08   1.40000000e-01   1.64403196e+03
  3.00000000e-08   1.40000000e-01   1.64403196e+03
  3.50000000e-08   1.40000000e-01   1.64403196e+03
  4.00000000e-08   1.40000000e-01   1.64403196e+03
  4.50000000e-08   1.40000000e-01   1.64403196e+03
  5.00000000e-08   1.40000000e-01   1.64403196e+03
  5.50000000e-08   1.40000000e-01   1.64403196e+03
  6.00000000e-08   1.40000000e-01   1.64403196e+03
  6.50000000e-08   1.40000000e-01   1.64403196e+03
  7.00000000e-08   1.40000000e-01   1.64403196e+03
  7.50000000e-08   1.40000000e-01   1.64403196e+03
  8.00000000e-08   1.40000000e-01   1.64403196e+03
  8.50000000e-08   1.40000000e-01   1.64403196e+03
  9.00000000e-08   1.40000000e-01   1.64403196e+03
  9.50000000e-08   1.40000000e-01   1.64403196e+03
  1.00000000e-07   1.40000000e-01   1.64403196e+03
  1.05000000e-07   1.40000000e-01   1.64403196e+03
  1.10000000e-07   1.40000000e-01   1.64403196e+03
  1.15000000e-07   1.40000000e-01   1.64403196e+03
  1.20000000e-07   1.40000000e-01   1.64403196e+03
  1.25000000e-07   1.40000000e-01   1.64403196e+03
  1.30000000e-07   1.40000000e-01   1.64403196e+03
  1.35000000e-07   1.40000000e-01   1.64403195e+03
  1.40000000e-07   1.40000000e-01   1.64403195e+03
  1.45000000e-07   1.40000000e-01   1.64403195e+03
  1.50000000e-07   1.40000000e-01   1.64403195e+03
  1.55000000e-07   1.40000000e-01   1.64403195e+03
  1.60000000e-07   1.40000000e-01   1.64403195e+03
  1.65000000e-07   1.40000000e-01   1.64403195e+03
  1.70000000e-07   1.40000000e-01   1.64403195e+03
  1.75000000e-07   1.40000000e-01   1.64403195e+03
  1.80000000e-07   1.40000000e-01   1.64403195e+03
  1.85000000e-07   1.40000000e-01   1.64403195e+03
  1.90000000e-07   1.40000000e-01   1.64403195e+03
  1.95000000e-07   1.40000000e-01   1.64403195e+03
  2.00000000e-07   1.40000000e-01   1.64403195e+03
  2.05000000e-07   1.40000000e-01   1.64403195e+03
  2.10000000e-07   1.40000000e-01   1.64403195e+03
  2.15000000e-07   1.40000000e-01   1.64403195e+03
  2.20000000e-07   1.40000000e-01   1.64403195e+03
  2.25000000e-07   1.40000000e-01   1.64403195e+03
  2.30000000e-07   1.40000000e-01   1.64403195e+03
  2.35000000e-07   1.40000000e-01   1.64403195e+03
  2.40000000e-07   1.40000000e-01   1.64403195e+03
  2.45000000e-07   1.40000000e-01   1.64403195e+03
  2.50000000e-07   1.40000000e-01   1.64403195e+03
  2.55000000e-07   1.40000000e-01   1.64403195e+03
  2.60000000e-07   1.40000000e-01   1.64403195e+03
  2.65000000e-07   1.40000000e-01   1.64403195e+03
  2.70000000e-07   1.40000000e-01   1.64403195e+03
  2.75000000e-07   1.40000000e-01   1.64403195e+03
  2.80000000e-07   1.40000000e-01   1.64403195e+03
  2.85000000e-07   1.40000000e-01   1.64403195e+03
  2.90000000e-07   1.40000000e-01   1.64403195e+03
  2.95000000e-07   1.40000000e-01   1.64403195e+03
  3.00000000e-07   1.40000000e-01   1.64403195e+03
  3.05000000e-07   1.40000000e-01   1.64403195e+03
  3.10000000e-07   1.40000000e-01   1.64403195e+03
  3.15000000e-07   1.40000000e-01   1.64403195e+03
  3.20000000e-07   1.40000000e-01   1.64403195e+03
  3.25000000e-07   1.40000000e-01   1.64403195e+03
  3.30000000e-07   1.40000000e-01   1.64403195e+03
  3.35000000e-07   1.40000000e-01   1.64403195e+03
  3.40000000e-07   1.40000000e-01   1.64403195e+03
  3.45000000e-07   1.40000000e-01   1.64403195e+03
  3.50000000e-07   1.40000000e-01   1.64403195e+03
  3.55000000e-07   1.40000000e-01   1.64403195e+03
  3.60000000e-07   1.40000000e-01   1.64403195e+03
  3.65000000e-07   1.40000000e-01   1.64403195e+03
  3.70000000e-07   1.40000000e-01   1.64403195e+03
  3.75000000e-07   1.40000000e-01   1.64403195e+03
  3.80000000e-07   1.40000000e-01   1.64403195e+03
  3.85000000e-07   1.40000000e-01   1.64403195e+03
  3.90000000e-07   1.40000000e-01   1.64403195e+03
  3.95000000e-07   1.40000000e-01   1.64403195e+03
  4.00000000e-07   1.40000000e-01   1.64403195e+03
  4.05000000e-07   1.40000000e-01   1.64403195e+03
  4.10000000e-07   1.40000000e-01   1.64403195e+03
  4.15000000e-07   1.40000000e-01   1.64403195e+03
  4.20000000e-07   1.40000000e-01   1.64403195e+03
  4.25000000e-07   1.40000000e-01   1.64403195e+03
  4.30000000e-07   1.40000000e-01   1.64403195e+03
  4.35000000e-07   1.40000000e-01   1.64403195e+03
  4.40000000e-07   1.40000000e-01   1.64403195e+03
  4.45000000e-07   1.40000000e-01   1.64403195e+03
  4.50000000e-07   1.40000000e-01   1.64403195e+03
  4.55000000e-07   1.40000000e-01   1.64403195e+03
  4.60000000e-07   1.40000000e-01   1.64403195e+03
  4.65000000e-07   1.40000000e-01   1.64403195e+03
  4.70000000e-07   1.40000000e-01   1.64403195e+03
  4.75000000e-07   1.40000000e-01   1.64403195e+03
  4.80000000e-07   1.40000000e-01   1.64403195e+03
  4.85000000e-07   1.40000000e-01   1.64403195e+03
  4.90000000e-07   1.40000000e-01   1.64403195e+03
  4.95000000e-07   1.40000000e-01   1.64403195e+03
  5.00000000e-07   1.40000000e-01   1.64403195e+03
  5.05000000e-07   1.40000000e-01   1.64403195e+03
  5.10000000e-07   1.40000000e-01   1.64403195e+03
  5.15000000e-07   1.40000000e-01   1.64403195e+03
  5.20000000e-07   1.40000000e-01   1.64403195e+03
  5.25000000e-07   1.40000000e-01   1.64403195e+03
  5.30000000e-07   1.40000000e-01   1.64403195e+03
  5.35000000e-07   1.40000000e-01   1.64403195e+03
  5.40000000e-07   1.40000000e-01   1.64403195e+03
  5.45000000e-07   1.40000000e-01   1.64403195e+03
  5.50000000e-07   1.40000000e-01   1.64403195e+03
  5.55000000e-07   1.40000000e-01   1.64403195e+03
  5.60000000e-07   1.40000000e-01   1.64403195e+03
  5.65000000e-07   1.40000000e-01   1.64403195e+03
  5.70000000e-07   1.40000000e-01   1.64403195e+03
  5.75000000e-07   1.40000000e-01   1.64403195e+03
  5.80000000e-07   1.40000000e-01   1.64403195e+03
  5.85000000e-07   1.40000000e-01   1.64403195e+03
  5.90000000e-07   1.40000000e-01   1.64403195e+03
  5.95000000e-07   1.40000000e-01   1.64403195e+03
  6.00000000e-07   1.40000000e-01   1.64403195e+03
  6.05000000e-07   1.40000000e-01   1.64403195e+03
  6.10000000e-07   1.40000000e-01   1.64403195e+03
  6.15000000e-07   1.40000000e-01   1.64403195e+03
  6.20000000e-07   1.40000000e-01   1.64403195e+03
  6.25000000e-07   1.40000000e-01   1.64403195e+03
  6.30000000e-07   1.40000000e-01   1.64403195e+03
  6.35000000e-07   1.40000000e-01   1.64403195e+03
  6.40000000e-07   1.40000000e-01   1.64403195e+03
  6.45000000e-07   1.40000000e-01   1.64403195e+03
  6.50000000e-07   1.40000000e-01   1.64403195e+03
  6.55000000e-07   1.40000000e-01   1.64403195e+03
  6.60000000e-07   1.40000000e-01   1.64403195e+03
  6.65000000e-07   1.40000000e-01   1.64403195e+03
  6.70000000e-07   1.40000000e-01   1.64403195e+03
  6.75000000e-07   1.40000000e-01   1.64403195e+03
  6.80000000e-07   1.40000000e-01   1.64403195e+03
  6.85000000e-07   1.40000000e-01   1.64403195e+03
  6.90000000e-07   1.40000000e-01   1.64403195e+03
  6.95000000e-07   1.40000000e-01   1.64403195e+03
  7.00000000e-07   1.40000000e-01   1.64403195e+03
  7.05000000e-07   1.40000000e-01   1.64403195e+03
  7.10000000e-07   1.40000000e-01   1.64403195e+03
  7.15000000e-07   1.40000000e-01   1.64403195e+03
  7.20000000e-07   1.40000000e-01   1.64403195e+03
  7.25000000e-07   1.40000000e-01   1.64403195e+03
  7.30000000e-07   1.40000000e-01   1.64403195e+03
  7.35000000e-07   1.40000000e-01   1.64403195e+03
  7.40000000e-07   1.40000000e-01   1.64403195e+03
  7.45000000e-07   1.40000000e-01   1.64403195e+03
  7.50000000e-07   1.40000000e-01   1.64403195e+03
  7.55000000e-07   1.40000000e-01   1.64403195e+03
  7.60000000e-07   1.40000000e-01   1.64403195e+03
  7.65000000e-07   1.40000000e-01   1.64403195e+03
  7.70000000e-07   1.40000000e-01   1.64403195e+03
  7.75000000e-07   1.40000000e-01   1.64403195e+03
  7.80000000e-07   1.40000000e-01   1.64403195e+03
  7.85000000e-07   1.40000000e-01   1.64403195e+03
  7.90000000e-07   1.40000000e-01   1.64403195e+03
  7.95000000e-07   1.40000000e-01   1.64403195e+03
  8.00000000e-07   1.40000000e-01   1.64403195e+03
  8.05000000e-07   1.40000000e-01   1.64403195e+03
  8.10000000e-07   1.40000000e-01   1.64403195e+03
  8.15000000e-07   1.40000000e-01   1.64403195e+03
  8.20000000e-07   1.40000000e-01   1.64403195e+03
  8.25000000e-07   1.40000000e-01   1.64403195e+03
  8.30000000e-07   1.40000000e-01   1.64403195e+03
  8.35000000e-07   1.40000000e-01   1.64403195e+03
  8.40000000e-07   1.40000000e-01   1.64403195e+03
  8.45000000e-07   1.40000000e-01   1.64403195e+03
  8.50000000e-07   1.40000000e-01   1.64403195e+03
  8.55000000e-07   1.40000000e-01   1.64403195e+03
  8.60000000e-07   1.40000000e-01   1.64403195e+03
  8.65000000e-07   1.40000000e-01   1.64403195e+03
  8.70000000e-07   1.40000000e-01   1.64403195e+03
  8.75000000e-07   1.40000000e-01   1.64403195e+03
  8.80000000e-07   1.40000000e-01   1.64403195e+03
  8.85000000e-07   1.40000000e-01   1.64403195e+03
  8.90000000e-07   1.40000000e-01   1.64403195e+03
  8.95000000e-07   1.40000000e-01   1.64403195e+03
  9.00000000e-07   1.40000000e-01   1.64403195e+03
  9.05000000e-07   1.40000000e-01   1.64403195e+03
  9.10000000e-07   1.40000000e-01   1.64403195e+03
  9.15000000e-07   1.40000000e-01   1.64403195e+03
  9.20000000e-07   1.40000000e-01   1.64403195e+03
  9.25000000e-07   1.40000000e-01   1.64403195e+03
  9.30000000e-07   1.40000000e-01   1.64403195e+03
  9.35000000e-07   1.40000000e-01   1.64403195e+03
  9.40000000e-07   1.40000000e-01   1.64403195e+03
  9.45000000e-07   1.40000000e-01   1.64403195e+03
  9.50000000e-07   1.40000000e-01   1.64403195e+03
  9.55000000e-07   1.40000000e-01   1.64403196e+03
  9.60000000e-07   1.40000000e-01   1.64403196e+03
  9.65000000e-07   1.40000000e-01   1.64403196e+03
  9.70000000e-07   1.40000000e-01   1.64403196e+03
  9.75000000e-07   1.40000000e-01   1.64403196e+03
  9.80000000e-07   1.40000000e-01   1.64403196e+03
  9.85000000e-07   1.40000000e-01   1.64403196e+03
  9.90000000e-07   1.40000000e-01   1.64403196e+03
  9.95000000e-07   1.40000000e-01   1.64403196e+03
  1.00000000e-06   1.40000000e-01   1.64403196e+03
  1.00500000e-06   1.40000000e-01   1.64403196e+03
  1.01000000e-06   1.40000000e-01   1.64403196e+03
  1.01500000e-06   1.40000000e-01   1.64403196e+03
  1.02000000e-06   1.40000000e-01   1.64403196e+03
  1.02500000e-06   1.40000000e-01   1.64403196e+03
  1.03000000e-06   1.40000000e-01   1.64403196e+03
  1.03500000e-06   1.40000000e-01   1.64403196e+03
  1.04000000e-06   1.40000000e-01   1.64403196e+03
  1.04500000e-06   1.40000000e-01   1.64403196e+03
  1.05000000e-06   1.40000000e-01   1.64403196e+03
  1.05500000e-06   1.40000000e-01   1.64403196e+03
  1.06000000e-06   1.40000000e-01   1.64403196e+03
  1.06500000e-06   1.40000000e-01   1.64403196e+03
  1.07000000e-06   1.40000000e-01   1.64403196e+03
  1.07500000e-06   1.40000000e-01   1.64403196e+03
  1.08000000e-06   1.40000000e-01   1.64403196e+03
  1.08500000e-06   1.40000000e-01   1.64403196e+03
  1.09000000e-06   1.40000000e-01   1.64403196e+03
  1.09500000e-06   1.40000000e-01   1.64403196e+03
  1.10000000e-06   1.40000000e-01   1.64403196e+03
  1.10500000e-06   1.40000000e-01   1.64403196e+03
  1.11000000e-06   1.40000000e-01   1.64403196e+03
  1.11500000e-06   1.40000000e-01   1.64403196e+03
  1.12000000e-06   1.40000000e-01   1.64403196e+03
  1.12500000e-06   1.40000000e-01   1.64403196e+03
