   t |  uy[mm] | fy[N] 
  0.00000000e+00   2.00000000e-02   2.38579610e+02
  0.00000000e+00   4.00000000e-02   4.77159517e+02
  0.00000000e+00   6.00000000e-02   7.15739149e+02
  0.00000000e+00   8.00000000e-02   9.54318753e+02
  0.00000000e+00   1.00000000e-01   1.19289835e+03
  5.00000000e-09   1.00000000e-01   1.19289835e+03
  1.00000000e-08   1.00000000e-01   1.19289835e+03
  1.50000000e-08   1.00000000e-01   1.19289835e+03
  2.00000000e-08   1.00000000e-01   1.19289835e+03
  2.50000000e-08   1.00000000e-01   1.19289835e+03
  3.00000000e-08   1.00000000e-01   1.19289835e+03
  3.50000000e-08   1.00000000e-01   1.19289835e+03
  4.00000000e-08   1.00000000e-01   1.19289835e+03
  4.50000000e-08   1.00000000e-01   1.19289835e+03
  5.00000000e-08   1.00000000e-01   1.19289835e+03
  5.50000000e-08   1.00000000e-01   1.19289835e+03
  6.00000000e-08   1.00000000e-01   1.19289835e+03
  6.50000000e-08   1.00000000e-01   1.19289835e+03
  7.00000000e-08   1.00000000e-01   1.19289835e+03
  7.50000000e-08   1.00000000e-01   1.19289835e+03
  8.00000000e-08   1.00000000e-01   1.19289835e+03
  8.50000000e-08   1.00000000e-01   1.19289835e+03
  9.00000000e-08   1.00000000e-01   1.19289835e+03
  9.50000000e-08   1.00000000e-01   1.19289835e+03
  1.00000000e-07   1.00000000e-01   1.19289835e+03
  1.05000000e-07   1.00000000e-01   1.19289835e+03
  1.10000000e-07   1.00000000e-01   1.19289835e+03
  1.15000000e-07   1.00000000e-01   1.19289835e+03
  1.20000000e-07   1.00000000e-01   1.19289835e+03
  1.25000000e-07   1.00000000e-01   1.19289835e+03
  1.30000000e-07   1.00000000e-01   1.19289835e+03
  1.35000000e-07   1.00000000e-01   1.19289835e+03
  1.40000000e-07   1.00000000e-01   1.19289835e+03
  1.45000000e-07   1.00000000e-01   1.19289835e+03
  1.50000000e-07   1.00000000e-01   1.19289835e+03
  1.55000000e-07   1.00000000e-01   1.19289835e+03
  1.60000000e-07   1.00000000e-01   1.19289835e+03
  1.65000000e-07   1.00000000e-01   1.19289835e+03
  1.70000000e-07   1.00000000e-01   1.19289835e+03
  1.75000000e-07   1.00000000e-01   1.19289835e+03
  1.80000000e-07   1.00000000e-01   1.19289835e+03
  1.85000000e-07   1.00000000e-01   1.19289835e+03
  1.90000000e-07   1.00000000e-01   1.19289835e+03
  1.95000000e-07   1.00000000e-01   1.19289835e+03
  2.00000000e-07   1.00000000e-01   1.19289835e+03
  2.05000000e-07   1.00000000e-01   1.19289835e+03
  2.10000000e-07   1.00000000e-01   1.19289835e+03
  2.15000000e-07   1.00000000e-01   1.19289835e+03
  2.20000000e-07   1.00000000e-01   1.19289835e+03
  2.25000000e-07   1.00000000e-01   1.19289835e+03
  2.30000000e-07   1.00000000e-01   1.19289835e+03
  2.35000000e-07   1.00000000e-01   1.19289835e+03
  2.40000000e-07   1.00000000e-01   1.19289835e+03
  2.45000000e-07   1.00000000e-01   1.19289835e+03
  2.50000000e-07   1.00000000e-01   1.19289835e+03
  2.55000000e-07   1.00000000e-01   1.19289835e+03
  2.60000000e-07   1.00000000e-01   1.19289835e+03
  2.65000000e-07   1.00000000e-01   1.19289835e+03
  2.70000000e-07   1.00000000e-01   1.19289835e+03
  2.75000000e-07   1.00000000e-01   1.19289835e+03
  2.80000000e-07   1.00000000e-01   1.19289835e+03
  2.85000000e-07   1.00000000e-01   1.19289835e+03
  2.90000000e-07   1.00000000e-01   1.19289835e+03
  2.95000000e-07   1.00000000e-01   1.19289835e+03
  3.00000000e-07   1.00000000e-01   1.19289835e+03
  3.05000000e-07   1.00000000e-01   1.19289835e+03
  3.10000000e-07   1.00000000e-01   1.19289835e+03
  3.15000000e-07   1.00000000e-01   1.19289835e+03
  3.20000000e-07   1.00000000e-01   1.19289835e+03
  3.25000000e-07   1.00000000e-01   1.19289835e+03
  3.30000000e-07   1.00000000e-01   1.19289834e+03
  3.35000000e-07   1.00000000e-01   1.19289834e+03
  3.40000000e-07   1.00000000e-01   1.19289834e+03
  3.45000000e-07   1.00000000e-01   1.19289834e+03
  3.50000000e-07   1.00000000e-01   1.19289834e+03
  3.55000000e-07   1.00000000e-01   1.19289834e+03
  3.60000000e-07   1.00000000e-01   1.19289834e+03
  3.65000000e-07   1.00000000e-01   1.19289834e+03
  3.70000000e-07   1.00000000e-01   1.19289834e+03
  3.75000000e-07   1.00000000e-01   1.19289834e+03
  3.80000000e-07   1.00000000e-01   1.19289834e+03
  3.85000000e-07   1.00000000e-01   1.19289834e+03
  3.90000000e-07   1.00000000e-01   1.19289834e+03
  3.95000000e-07   1.00000000e-01   1.19289834e+03
  4.00000000e-07   1.00000000e-01   1.19289834e+03
  4.05000000e-07   1.00000000e-01   1.19289834e+03
  4.10000000e-07   1.00000000e-01   1.19289834e+03
  4.15000000e-07   1.00000000e-01   1.19289834e+03
  4.20000000e-07   1.00000000e-01   1.19289834e+03
  4.25000000e-07   1.00000000e-01   1.19289834e+03
  4.30000000e-07   1.00000000e-01   1.19289834e+03
  4.35000000e-07   1.00000000e-01   1.19289834e+03
  4.40000000e-07   1.00000000e-01   1.19289834e+03
  4.45000000e-07   1.00000000e-01   1.19289834e+03
  4.50000000e-07   1.00000000e-01   1.19289834e+03
  4.55000000e-07   1.00000000e-01   1.19289834e+03
  4.60000000e-07   1.00000000e-01   1.19289834e+03
  4.65000000e-07   1.00000000e-01   1.19289834e+03
  4.70000000e-07   1.00000000e-01   1.19289834e+03
  4.75000000e-07   1.00000000e-01   1.19289834e+03
