   t |  uy[mm] | fy[N] 
  0.00000000e+00   2.00000000e-02   2.37789906e+02
  0.00000000e+00   4.00000000e-02   4.75580351e+02
  0.00000000e+00   6.00000000e-02   7.13370167e+02
  0.00000000e+00   8.00000000e-02   9.51160116e+02
  0.00000000e+00   1.00000000e-01   1.18894999e+03
  0.00000000e+00   1.20000000e-01   1.42673991e+03
  0.00000000e+00   1.40000000e-01   1.66452978e+03
  0.00000000e+00   1.60000000e-01   1.90231972e+03
  5.00000000e-09   1.60000000e-01   1.90231972e+03
  1.00000000e-08   1.60000000e-01   1.90231972e+03
  1.50000000e-08   1.60000000e-01   1.90231972e+03
  2.00000000e-08   1.60000000e-01   1.90231972e+03
  2.50000000e-08   1.60000000e-01   1.90231972e+03
  3.00000000e-08   1.60000000e-01   1.90231972e+03
  3.50000000e-08   1.60000000e-01   1.90231972e+03
  4.00000000e-08   1.60000000e-01   1.90231972e+03
  4.50000000e-08   1.60000000e-01   1.90231972e+03
  5.00000000e-08   1.60000000e-01   1.90231972e+03
  5.50000000e-08   1.60000000e-01   1.90231972e+03
  6.00000000e-08   1.60000000e-01   1.90231972e+03
  6.50000000e-08   1.60000000e-01   1.90231972e+03
  7.00000000e-08   1.60000000e-01   1.90231972e+03
  7.50000000e-08   1.60000000e-01   1.90231972e+03
  8.00000000e-08   1.60000000e-01   1.90231972e+03
  8.50000000e-08   1.60000000e-01   1.90231972e+03
  9.00000000e-08   1.60000000e-01   1.90231972e+03
  9.50000000e-08   1.60000000e-01   1.90231972e+03
  1.00000000e-07   1.60000000e-01   1.90231972e+03
  1.05000000e-07   1.60000000e-01   1.90231972e+03
  1.10000000e-07   1.60000000e-01   1.90231972e+03
  1.15000000e-07   1.60000000e-01   1.90231972e+03
  1.20000000e-07   1.60000000e-01   1.90231972e+03
  1.25000000e-07   1.60000000e-01   1.90231972e+03
  1.30000000e-07   1.60000000e-01   1.90231972e+03
  1.35000000e-07   1.60000000e-01   1.90231972e+03
  1.40000000e-07   1.60000000e-01   1.90231972e+03
  1.45000000e-07   1.60000000e-01   1.90231972e+03
