   t |  uy[mm] | fy[N] 
  5.40000000e-07   6.00000000e-02   7.01537331e+02
  5.45000000e-07   6.00000000e-02   7.01537331e+02
  5.50000000e-07   6.00000000e-02   7.01537331e+02
  5.55000000e-07   6.00000000e-02   7.01537331e+02
  5.60000000e-07   6.00000000e-02   7.01537331e+02
  5.65000000e-07   6.00000000e-02   7.01537331e+02
  5.70000000e-07   6.00000000e-02   7.01537331e+02
  5.75000000e-07   6.00000000e-02   7.01537331e+02
  5.80000000e-07   6.00000000e-02   7.01537331e+02
  5.85000000e-07   6.00000000e-02   7.01537331e+02
  5.90000000e-07   6.00000000e-02   7.01537331e+02
  5.95000000e-07   6.00000000e-02   7.01537331e+02
  6.00000000e-07   6.00000000e-02   7.01537331e+02
  6.05000000e-07   6.00000000e-02   7.01537331e+02
  6.10000000e-07   6.00000000e-02   7.01537331e+02
  6.15000000e-07   6.00000000e-02   7.01537331e+02
  6.20000000e-07   6.00000000e-02   7.01537331e+02
  6.25000000e-07   6.00000000e-02   7.01537331e+02
  6.30000000e-07   6.00000000e-02   7.01537331e+02
  6.35000000e-07   6.00000000e-02   7.01537331e+02
  6.40000000e-07   6.00000000e-02   7.01537331e+02
  6.45000000e-07   6.00000000e-02   7.01537331e+02
  6.50000000e-07   6.00000000e-02   7.01537331e+02
  6.55000000e-07   6.00000000e-02   7.01537331e+02
  6.60000000e-07   6.00000000e-02   7.01537331e+02
  6.65000000e-07   6.00000000e-02   7.01537331e+02
  6.70000000e-07   6.00000000e-02   7.01537331e+02
  6.75000000e-07   6.00000000e-02   7.01537331e+02
  6.80000000e-07   6.00000000e-02   7.01537331e+02
  6.85000000e-07   6.00000000e-02   7.01537331e+02
  6.90000000e-07   6.00000000e-02   7.01537331e+02
  6.95000000e-07   6.00000000e-02   7.01537331e+02
  7.00000000e-07   6.00000000e-02   7.01537331e+02
  7.05000000e-07   6.00000000e-02   7.01537331e+02
  7.10000000e-07   6.00000000e-02   7.01537331e+02
  7.15000000e-07   6.00000000e-02   7.01537331e+02
  7.20000000e-07   6.00000000e-02   7.01537331e+02
  7.25000000e-07   6.00000000e-02   7.01537331e+02
  7.30000000e-07   6.00000000e-02   7.01537331e+02
  7.35000000e-07   6.00000000e-02   7.01537331e+02
  7.40000000e-07   6.00000000e-02   7.01537331e+02
  7.45000000e-07   6.00000000e-02   7.01537331e+02
  7.50000000e-07   6.00000000e-02   7.01537331e+02
  7.55000000e-07   6.00000000e-02   7.01537331e+02
  7.60000000e-07   6.00000000e-02   7.01537331e+02
  7.65000000e-07   6.00000000e-02   7.01537331e+02
  7.70000000e-07   6.00000000e-02   7.01537331e+02
  7.75000000e-07   6.00000000e-02   7.01537331e+02
  7.80000000e-07   6.00000000e-02   7.01537331e+02
  7.85000000e-07   6.00000000e-02   7.01537331e+02
  7.90000000e-07   6.00000000e-02   7.01537331e+02
  7.95000000e-07   6.00000000e-02   7.01537331e+02
  8.00000000e-07   6.00000000e-02   7.01537331e+02
  8.05000000e-07   6.00000000e-02   7.01537331e+02
  8.10000000e-07   6.00000000e-02   7.01537331e+02
  8.15000000e-07   6.00000000e-02   7.01537331e+02
  8.20000000e-07   6.00000000e-02   7.01537331e+02
  8.25000000e-07   6.00000000e-02   7.01537331e+02
  8.30000000e-07   6.00000000e-02   7.01537331e+02
  8.35000000e-07   6.00000000e-02   7.01537331e+02
  8.40000000e-07   6.00000000e-02   7.01537331e+02
  8.45000000e-07   6.00000000e-02   7.01537331e+02
  8.50000000e-07   6.00000000e-02   7.01537331e+02
  8.55000000e-07   6.00000000e-02   7.01537331e+02
  8.60000000e-07   6.00000000e-02   7.01537331e+02
  8.65000000e-07   6.00000000e-02   7.01537331e+02
  8.70000000e-07   6.00000000e-02   7.01537331e+02
  8.75000000e-07   6.00000000e-02   7.01537331e+02
  8.80000000e-07   6.00000000e-02   7.01537331e+02
  8.85000000e-07   6.00000000e-02   7.01537331e+02
  8.90000000e-07   6.00000000e-02   7.01537331e+02
  8.95000000e-07   6.00000000e-02   7.01537331e+02
  9.00000000e-07   6.00000000e-02   7.01537331e+02
  9.05000000e-07   6.00000000e-02   7.01537331e+02
  9.10000000e-07   6.00000000e-02   7.01537331e+02
  9.15000000e-07   6.00000000e-02   7.01537331e+02
  9.20000000e-07   6.00000000e-02   7.01537331e+02
  9.25000000e-07   6.00000000e-02   7.01537331e+02
  9.30000000e-07   6.00000000e-02   7.01537331e+02
  9.35000000e-07   6.00000000e-02   7.01537331e+02
  9.40000000e-07   6.00000000e-02   7.01537331e+02
  9.45000000e-07   6.00000000e-02   7.01537331e+02
  9.50000000e-07   6.00000000e-02   7.01537331e+02
  9.55000000e-07   6.00000000e-02   7.01537331e+02
  9.60000000e-07   6.00000000e-02   7.01537331e+02
  9.65000000e-07   6.00000000e-02   7.01537331e+02
  9.70000000e-07   6.00000000e-02   7.01537331e+02
  9.75000000e-07   6.00000000e-02   7.01537331e+02
  9.80000000e-07   6.00000000e-02   7.01537331e+02
  9.85000000e-07   6.00000000e-02   7.01537331e+02
  9.90000000e-07   6.00000000e-02   7.01537331e+02
  9.95000000e-07   6.00000000e-02   7.01537331e+02
  1.00000000e-06   6.00000000e-02   7.01537331e+02
  1.00500000e-06   6.00000000e-02   7.01537331e+02
  1.01000000e-06   6.00000000e-02   7.01537331e+02
  1.01500000e-06   6.00000000e-02   7.01537331e+02
  1.02000000e-06   6.00000000e-02   7.01537331e+02
  1.02500000e-06   6.00000000e-02   7.01537331e+02
  1.03000000e-06   6.00000000e-02   7.01537331e+02
  1.03500000e-06   6.00000000e-02   7.01537331e+02
  1.04000000e-06   6.00000000e-02   7.01537331e+02
  1.04500000e-06   6.00000000e-02   7.01537331e+02
  1.05000000e-06   6.00000000e-02   7.01537331e+02
  1.05500000e-06   6.00000000e-02   7.01537331e+02
  1.06000000e-06   6.00000000e-02   7.01537331e+02
  1.06500000e-06   6.00000000e-02   7.01537331e+02
  1.07000000e-06   6.00000000e-02   7.01537331e+02
  1.07500000e-06   6.00000000e-02   7.01537331e+02
  1.08000000e-06   6.00000000e-02   7.01537331e+02
  1.08500000e-06   6.00000000e-02   7.01537331e+02
  1.09000000e-06   6.00000000e-02   7.01537331e+02
  1.09500000e-06   6.00000000e-02   7.01537331e+02
  1.10000000e-06   6.00000000e-02   7.01537331e+02
  1.10500000e-06   6.00000000e-02   7.01537331e+02
  1.11000000e-06   6.00000000e-02   7.01537331e+02
  1.11500000e-06   6.00000000e-02   7.01537331e+02
  1.12000000e-06   6.00000000e-02   7.01537331e+02
  1.12500000e-06   6.00000000e-02   7.01537331e+02
  1.13000000e-06   6.00000000e-02   7.01537331e+02
  1.13500000e-06   6.00000000e-02   7.01537331e+02
