   t |  uy[mm] | fy[N] 
  2.24000000e-06   1.90000000e-01   2.32921208e+03
  2.26000000e-06   1.90000000e-01   2.32921208e+03
  2.28000000e-06   1.90000000e-01   2.32921208e+03
  2.30000000e-06   1.90000000e-01   2.32921208e+03
  2.32000000e-06   1.90000000e-01   2.32921208e+03
  2.34000000e-06   1.90000000e-01   2.32921208e+03
  2.36000000e-06   1.90000000e-01   2.32921208e+03
  2.38000000e-06   1.90000000e-01   2.32921208e+03
  2.40000000e-06   1.90000000e-01   2.32921208e+03
  2.42000000e-06   1.90000000e-01   2.32921208e+03
  2.44000000e-06   1.90000000e-01   2.32921208e+03
  2.46000000e-06   1.90000000e-01   2.32921208e+03
  2.48000000e-06   1.90000000e-01   2.32921208e+03
  2.50000000e-06   1.90000000e-01   2.32921208e+03
  2.52000000e-06   1.90000000e-01   2.32921208e+03
  2.54000000e-06   1.90000000e-01   2.32921208e+03
  2.56000000e-06   1.90000000e-01   2.32921208e+03
  2.58000000e-06   1.90000000e-01   2.32921208e+03
  2.60000000e-06   1.90000000e-01   2.32921208e+03
  2.62000000e-06   1.90000000e-01   2.32921208e+03
  2.64000000e-06   1.90000000e-01   2.32921208e+03
  2.66000000e-06   1.90000000e-01   2.32921208e+03
  2.68000000e-06   1.90000000e-01   2.32921208e+03
  2.70000000e-06   1.90000000e-01   2.32921208e+03
  2.72000000e-06   1.90000000e-01   2.32921208e+03
  2.74000000e-06   1.90000000e-01   2.32921208e+03
  2.76000000e-06   1.90000000e-01   2.32921208e+03
  2.78000000e-06   1.90000000e-01   2.32921208e+03
  2.80000000e-06   1.90000000e-01   2.32921208e+03
  2.82000000e-06   1.90000000e-01   2.32921208e+03
  2.84000000e-06   1.90000000e-01   2.32921208e+03
  2.86000000e-06   1.90000000e-01   2.32921208e+03
  2.88000000e-06   1.90000000e-01   2.32921208e+03
  2.90000000e-06   1.90000000e-01   2.32921208e+03
  2.92000000e-06   1.90000000e-01   2.32921208e+03
  2.94000000e-06   1.90000000e-01   2.32921208e+03
  2.96000000e-06   1.90000000e-01   2.32921208e+03
  2.98000000e-06   1.90000000e-01   2.32921208e+03
  3.00000000e-06   1.90000000e-01   2.32921208e+03
  3.02000000e-06   1.90000000e-01   2.32921208e+03
  3.04000000e-06   1.90000000e-01   2.32921208e+03
  3.06000000e-06   1.90000000e-01   2.32921208e+03
  3.08000000e-06   1.90000000e-01   2.32921208e+03
